n,x
0,0.48025114926347845
1,-0.1214921427120304
2,-1.7484841240777755
3,-1.0518207097827788
4,0.6522999687855662
5,1.0707970054504332
6,-0.034531976417208884
7,-2.4496273360477248
8,-0.6112115641809084
9,-0.03333121843528115
10,-0.17764896975779004
11,0.8684284699934933
12,1.454226092779193
13,0.5062788616817233
14,0.5460013414261226
15,-1.1931794289982447
16,-0.1331153278051892
17,-1.803456578935651
18,-0.03503291054891571
19,0.09194730204213974
20,1.4774437043136859
21,1.2990317590023555
22,1.5528993267975384
23,0.42573689735021336
24,-1.9280261931200806
25,0.8956166019336348
